	sentence	word_labels
379	Türkiye ve Almanya , Avrupa'nın yeniden inşasında büyük role sahip iki büyük ülkedir	I-LOC O I-LOC O O O O O O O O O O
380	Türk - Alman dostluğunun iki ülke için de vazgeçilmez yararları vardır	O O O O O O O O O O O
381	- Soğukluk daha ne kadar sürer	O O O O O O
382	- Bu durum neden doğdu	O O O O O
383	Almanya'nın , Lüksemburg kararlarının alınması sırasındaki tavrından doğdu	I-LOC O I-LOC O O O O O
384	Zamanla değişecektir	O O
385	Almanya , Türkiye'yi anlayacaktır	I-LOC O I-LOC O
386	Türkiye'yi Avrupa'dan dışlayan bir politikaya Almanya destekçi olmaya devam edemez	I-LOC I-LOC O O O I-LOC O O O O
387	AVRUPA'da yaşayan Türkler , 18 Nisan 1999'daki seçimlerde ne yapacaklar	I-LOC O O O O O O O O O
388	""" Bulundukları ülkede "" oy kullanabilecekler mi"	O O O O O O O
389	Cumhurbaşkanı : - İstenen çözüm hala sonuca bağlanamadı	O O O O O O O O
390	Kırk , ellibin kişi oy kullanıyor	O O O O O O
391	Oysa Avrupa'da üçbuçuk milyon insanımız var	O O O O O O
392	Birbuçuk , iki milyonu oy kullanabilmeli	O O O O O O
393	Bu konu , şu anda siyasetin tartışma konusudur	O O O O O O O O
394	Ancak , seçim öncesinde bir çare bulunabileceğini de sanmıyorum	O O O O O O O O O
395	- Niçin	O O
396	- Hiç kimse yurt dışındaki vatandaşlarımızın oy kullanmalarına karşı değil	O O O O O O O O O O
397	- Öyleyse	O O
398	- Ama bu işin pratiği bulunamadı	O O O O O O
399	Diğer ülkelerin kolaylık göstermesi lazım	O O O O O
400	Tabii başka konular da var	O O O O O
401	- Ne gibi	O O O
402	- Yüksek Seçim Kurulu haklı olarak çok hassas	O I-ORG I-ORG I-ORG O O O O
403	Uygulamanın güvenli olmasını istiyor	O O O O
404	Meclis'in , bütün bunlara bir çare bulmasını diliyorum	O O O O O O O O
405	"CUMHURBAŞKANI'nın "" dileğine "" katılıyoruz"	O O O O O
406	"Ancak "" umudumuz olmadığını da "" söylemeliyiz"	O O O O O O O
407	""" Kendi derdine "" düşen siyaset , Avrupa'daki Türk'ün sorununu nasıl çözecek"	O O O O O O O I-LOC O O O O
408	Oktay AKBAL BİR tarihte Demirtaş Ceyhun ile Kemal Özer , Balkan Yazarlar Kongresi'ne davet edilmişler	I-PER I-PER O O I-PER I-PER O I-PER I-PER O O O O O O
409	Kambiyoya gidip döviz almak istemişler	O O O O O
410	İlgili memur , Sizin yazar olduğunuzu nerden anlayayım .	O O O O O O O O O
411	""" diye zorluk çıkarmaya kalkmış"	O O O O O
412	Çağdaş edebiyatımızın iki ünlü kişisi , bilmem , nasıl kanıtlamışlar yazar , şair olduklarını	O O O O O O O O O O O O O O
413	"Tıpkı , Sait Faik'in de , yazarlığını kabul ettiremeyince pasaportuna "" işsiz güçsüz "" diye kayıt düşürülmesi gibi"	O O I-PER I-PER O O O O O O O O O O O O O O
414	"Demirtaş Ceyhun'un yıllar önce çıkmış "" Can Çekişen Kitap "" adlı kitabını karıştırırken anılara , daha doğrusu bir türlü çözümlenmeyen eski dertlere , sorunlara döndüm"	I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O
415	Ülkemizde edebiyatın etkinliğini yitirmesi , kitap denen ölümsüz değerin , TV'ler , kasetler , poplar , bilmem nelerle kültür alanının çölleştirilmesi , yozlaştırılması , bayağılaştırılması 50'lerden sonra başladı , günümüzde son çizgisine vardı	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
416	Geçenlerde bir TV yayınında duydum	O O O O O
417	) yakınıyordu : Kasetleri elli bin , yüz bin satılırken , Tatlıses'ler türünden şarkıcıların kasetleri bir milyon satılıyormuş	O O O O O O O O O O O I-PER O O O O O O
418	Ceyhun , yayın dünyamızda bir çeşit devrim sayılması gereken Çağlayan Yayınları olayından söz etmiş	I-PER O O O O O O O O I-ORG I-ORG O O O
419	Refik Erduran ve iki arkadaşının , hem de yirmi yaşlarındayken giriştikleri bu yayın olayını okurlarım belki unutmuşlardır	I-PER I-PER O O O O O O O O O O O O O O O
420	Çağlayan'ın bastığı kitapların ulaştığı satış şimdi masal gibi gelir	I-PER O O O O O O O O
421	""" İnsan Harası "" adlı bir çeviri roman on beş günde yüz bin tane satılmış"	O O O O O O O O O O O O O O O
422	"Kemal Tahir'in "" Halk Plajı "" ise otuz beş bin"	I-PER I-PER O O O O O O O O
423	"Demirtaş Ceyhun , kitap okurlarının azlığından söz ettikten sonra soruyor : "" Kitap okumuyoruz da gazetemi okuyoruz ."	I-PER I-PER O O O O O O O O O O O O O O O O
424	Ne gezer .	O O O
425	Fransa'da gazetelerin bir günlük toplam tirajı on milyonun üstündeyken bizde iki buçuk milyon .	I-LOC O O O O O O O O O O O O O
426	Yine Fransa'da bir kişiye yedi kitap , bizde beş kişiye bir kitap .	O I-LOC O O O O O O O O O O O
427	""""	O
428	Bu satırlar 1983 yılında yazılmış , on beş yıl önce	O O O O O O O O O O
429	Değişen , daha doğrusu gelişen bir şey var mı	O O O O O O O O O
430	Bugün ilgi çekici promosyonlar olmasa gazeteler acaba o günlerdeki satışı bulabilirler mi	O O O O O O O O O O O O
431	Ya kitap satışı	O O O
432	On beş yıl önceye oranla büyük ilerleme yaptığımızı söylemek olası mı	O O O O O O O O O O O
433	Demirtaş Ceyhun'un gazetecilik , dergicilik , kitapçılık serüvenleri olduğu da unutulmamalı	I-PER I-PER O O O O O O O O O
434	Hepsinden zararla çıkmış	O O O
435	"Yine de vazgeçmemiş , şimdilerde "" Sis Çanı "" yayınlarını sürdürüyor"	O O O O O O O O O O O
436	Hiç değilse kendi kitaplarını pazarlıyor	O O O O O
437	Bir zamanlar Necati Cumalı da oyunlarını kitaplaştırmıştı	O O I-PER I-PER O O O
438	Her kitabın başında bir harf vardı	O O O O O O
439	""" Necati Cumalı "" adı çıkacaktı ortaya , kitaplar yanyana geldiğinde"	O I-PER I-PER O O O O O O O O
440	"Ama "" Necati'ye kadar zor geldi , gerisi kaldı"	O O I-PER O O O O O O
441	Ceyhun , bir tartışmayı başlatmaya kalkmış	I-PER O O O O O
442	Amacı kitaplar daha çok okunsun , yazarlığa saygı duyulsun , bir toplumun kalkınmasının yalnızca kültürden kaynaklandığı anlaşılsın	O O O O O O O O O O O O O O O O O
443	""" Çanlar çalıyor beyler ."	O O O O O
444	Kitapsız bir toplum , kitapsız bir kültür düşünülmeyeceğine göre her geçen gün biraz daha büyüyen bu bunalımdan kurtulmanın yollarını bulmak için paçaları sıvamamız zamanı geldi de geçiyor bile .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
445	""""	O
446	On beş yıl önce böyle yazmış Demirtaş Ceyhun dostum	O O O O O O I-PER I-PER O
447	Değişen bir şey var mı	O O O O O
448	Eski günleri arar olduk şimdi	O O O O O
449	"ACI dolu , kaygılı sözler gurbetçilerimize ait : "" Bizi ne Türkiye düşünüyor , ne Almanya ."	O O O O O O O O O O O I-LOC O O O I-LOC O
450	Türk vatandaşlığından çıkmak istiyoruz , aylardır işimiz çözülmüyor .	O O O O O O O O O
451	Alman vatandaşı olmak istiyoruz , Almanlar uzak duruyor .	O O O O O O O O O
452	Ortada kaldık , ne olacağımızı bilmiyoruz .	O O O O O O O
453	""""	O
454	Yıllardır ve yılda birkaç kez olmak üzere , Almanya'ya gidiyorum	O O O O O O O O I-LOC O
455	Çeşitli kentlerinde dolaşıyorum	O O O
456	Bu artık kimlik bunalımına dönüşüyor .	O O O O O O
457	Herkes sadece yabancılığını yaşıyor .	O O O O O
458	""""	O
459	"Dünyadan , Türkiye'den , Almanya'dan , konu ne olursa olsun , hiç farketmiyor , mutlaka "" yabancılıkla "" ilgili bir bağlantı kuruluyor , analizler o bakış açısından üretiliyor"	O O I-LOC O I-LOC O O O O O O O O O O O O O O O O O O O O O O O
460	Aslında , bu dönüşüm sadece Türklerin yaşadıklarıyla sınırlı değil	O O O O O O O O O
461	"Raflarda bir anda çoğalan yeni tür kitaplar , belli ülkelerden belli ülkelere kitlesel göçler , göç edenlerin hukuksal statüleri , hakları , oralardaki yaşam koşulları , uyum sorunlarına "" ilişkin"	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
462	Hatta , bu kitaplardan biri Fransa'da araştırmacılık dalında büyük ödülü kazanıyor	O O O O O I-LOC O O O O O
463	Yurt dışında yaşayan vatandaşlarımızın , hele de Almanya'dakilerin diken üstünde oturmalarına kaynaklık eden siyasal gelişmeler de eksik değil	O O O O O O O I-LOC O O O O O O O O O O
464	Kohl'den gerçeğin ifadesi	I-PER O O
465	27 Eylül'deki Alman seçimleri için hava iyice ısınıyor	O O O O O O O O
466	Liderler alanlarda her konuya el atıyor	O O O O O O
467	Gerçek budur .	O O O
468	Ancak , biz misafirlik konusunu tartışıyoruz .	O O O O O O O
469	Size geliyorlar , evin hanımına hakaret ediyorlar ve sizi evden atıyorlar .	O O O O O O O O O O O O
470	Bu kadar basit .	O O O O
471	Dünyanın her yerinde , İsviçre , Fransa , Amerika'da bu böyledir .	O O O O I-LOC O I-LOC O I-LOC O O O
472	Biz kendi ülkemizde geleneklerimize ve yasalarımıza göre yaşamak istiyoruz .	O O O O O O O O O O
473	Kendi evimizin efendisi kalmak istiyoruz , bu temel koşuldur .	O O O O O O O O O O
474	""""	O
475	Alman Başbakanı'nın ağzından çıkan bu sözler yabancılık duygusunu daha da derinleştiriyor	O O O O O O O O O O O
476	Yarına duyulan güvensizliği daha da pekiştiriyor	O O O O O O
477	Yabancılar bu sözlere tepkili	O O O O
478	Belki bu nedenle , Alman vatandaşlığına geçmiş yabancıların büyük bölümü sosyal demokratlardan yana oy kullanmayı düşünüyor	O O O O O O O O O O O O O O O O
479	Ancak , bir seçimde şu ya da bu partiye oy vererek , tepkiyi aktarmak kalıcı bir çözüm değil	O O O O O O O O O O O O O O O O O O
480	Çünkü , iktidara gelecek olan da , hiç kuşku yok , yarın benzer mantığı dile getirecek	O O O O O O O O O O O O O O O O
481	"Bu durumda iş "" Ankara'ya düşüyor ."	O O O O I-LOC O O
482	""" Bu insanların sorunlarını çözme yönünde , daha aktif davranmak zorunda"	O O O O O O O O O O O
483	Yarın Almanya'da iktidara kim gelirse gelsin , onlarla diyalog kurmak , Ankara'da ise , onlara her türlü kolaylığı göstermek vazgeçilmez bir görev	O I-LOC O O O O O O O O O I-LOC O O O O O O O O O O
484	DİN konusu , elbette ki tabu değildir	O O O O O O O
485	Ama ele alınması dikkat ister	O O O O O
486	Üzerine yazı yazılırken , bir siyasi partinin tutumunda rolü belirlenirken	O O O O O O O O O O
487	Çünkü dini inançlar insanların şahıslarını ilgilendirir ve kişiler o alanda çabuk rencide olurlar	O O O O O O O O O O O O O
488	Bundan dolayıdır ki , istismarı kolaydır	O O O O O O
489	O alana , pek lüzum kalmadıkça girmemeye dikkat etmişimdir	O O O O O O O O O
490	Eğer RP'nin ümit vermiş , FP'nin ümit kıran genç liderlerinden Abdullah Gül'ün koluna üç çocuk anası eşini takıp Üniversiteye kaydını yaptırmak üzere , yanında noter ve katipleri , bir gazeteci ordusuyla gitmesi şovu tam da benim bir kitabı bitirmem , Herald Tribune'da da ilginç bir yazının yayımlanması sırasına rastlamasaydı konuya belki gene de girmeyecektim	O I-ORG O O O I-ORG O O O O I-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-ORG I-ORG O O O O O O O O O O O O
491	"Üstelik şu arada bir "" Türk islamı'nın olup olamayacağı da bazı çevrelerde tartışılıyor"	O O O O O O O O O O O O O
492	"Üniversitelerin açılması ise "" türban sorunu'nu gündemde tutmak - veya gene gündeme getirmek isteyenler - için fırsat sayılıyor"	O O O O O O O O O O O O O O O O O O
493	"Yazar "" Arap islamı'nı inceliyor , onda bile bir "" Çöl islamı "" ile bir "" Nehir islamı "" arasındaki farklılıkları gözler önüne seriyor"	O O O O O O O O O O O O O O O O O O O O O O O O
494	"Hiç , bir "" Türk islamı "" olmaz mı"	O O O O O O O O O
495	"Peygamber : "" Ben de sizin gibi bir insanım """	O O O O O O O O O O
496	Önce makaleden kısaca bahsedeyim	O O O O
497	Asfar gayet doğru olarak belirtiyor ki müslümanlar dinlerini kendi kültürlerine göre yorumlamışlardır	I-PER O O O O O O O O O O O
498	Bunlara güler yüzlü ve çatık kaşlı islam da denilebilir	O O O O O O O O O
499	Birincisi , zamana ayak uydururken ikincisi fanatizmi rehber edinmiştir	O O O O O O O O O
500	Ama insanlar çölde ve Muhammed'in zamanında yaşamıyorlar ki	O O O O I-PER O O O
501	Çölde kadın ile erkek eşitliği de yoktur	O O O O O O O
502	Kadın , baştan çıkarıcı şeytandır , örtünmesi lazımdır	O O O O O O O O
503	Mısırlı din adamı , erkeklerin uzun giysilerini ve sakallarını da çöle ait özellikler olarak niteliyor	O O O O O O O O O O O O O O O
504	Makalede başka bir ilginç yorum var	O O O O O O
505	Gaber Asfur bunların başlangıçı olarak Nasır'ın ordusunun İsrail karşısındaki 1967 yenilgisini gösteriyor	I-PER I-PER O O O I-PER O O O O O O
506	"Ama yazar "" Arap islamı "" için bile iyimserdir , o alemde de "" Nehir islamı'nın "" Çöl islamı'nı püskürteceği inançındadır"	O O O O O O O O O O O O O O O O O O O O O
507	"Nerede kaldı , Türk islamı """	O O O O O O
508	"Burada Hazreti Muhammed'in sık sık tekrarladığı "" Ben de sizin gibi bir insanım "" sözü başka bir anlam taşıyor"	O O I-PER O O O O O O O O O O O O O O O O
509	Mağlup tarafın erkeklerinin kellesi , bazen onun nezaretinde Hazreti Ali tarafından kılıçla kesilir ve kadınlar ile çocuklar köle edilir	O O O O O O O O O I-PER O O O O O O O O O
510	Unutmayın , 7. yüzyıldayız ve her yüzyılın kendi kuralları vardır	O O O O O O O O O O
511	Ondan dört , beş asır sonra Haçlılar az mı müslüman kesmişlerdir	O O O O O O O O O O O
512	""" Ben de sizin gibi bir insanım "" diyen Hazreti Muhammed kendi zamanının çöl erkeklerinin zaaflarını iyi bildiğinden onlara bazı yasaklar , kadınlarına da bazı mecburiyetler koymuştur"	O O O O O O O O O O I-PER O O O O O O O O O O O O O O O O
513	"Bugün , bırakınız "" Nil deltası "" kadınlarını , Cumhuriyet Türkiyesi'nin genç üniversiteli kızları başı açık olmaları gereken yerlerde saçlarını gösterirlerse erkek arkadaşlarını günaya iterek günahkar oldukları kanaatinde midirler"	O O O O O O O O O O I-LOC O O O O O O O O O O O O O O O O O O
514	Ne dersiniz , sayın Abdullah Gül	O O O O I-PER I-PER
515	Ev ödevi vermek bize düşmez	O O O O O
516	AB'ye üye olmak istiyorum diyen Türkiye'nin kendisi	I-ORG O O O O I-LOC O
517	Türkiye , bağımsız olarak bu kararı verdi	I-LOC O O O O O O
518	Bunun gereklerini de yerine getirmeli	O O O O O
519	Naki ÖZKAN	I-PER I-PER
520	Alman genç gazetecilerin bir kuruluşu olan Journalists Network'ün Türkiye'nin değişik basın organlarından davet ettiği gazetecilerin Almanya gezisinde , Bonn'da , Alman Dışişleri bakanlığı görevlileri ile de bir karşılaşma oldu	O O O O O O I-ORG I-ORG I-LOC O O O O O O I-LOC O O I-LOC O I-ORG I-ORG I-ORG O O O O O O
521	Ona göre , Türk - Alman ilişkileri kötü yolda değil	O O O O O O O O O O
522	""" Hoparlörle , megafon diplomasisi yapmayalım "" diyor"	O O O O O O O O
523	"Megafon diplomasisinden kasttettiği ise , yüksek sesle ,' tribünlere oynayarak "" olayları abartma tutumu"	O O O O O O O O O O O O O O
524	Dört yıldır çok sık olarak Türkiye'yi ziyaret eden Alman Müsteşar'a göre , her halkın tarihinde bir başka halkla yoğun ilişkiler oldu	O O O O O I-LOC O O O O O O O O O O O O O O O
525	Ancak , günümüzde , Türk ve Alman halkının dışında böylesine ayrı tarihe , siyasi ve kültürel farklılıklara rağmen , bu ölçüde yoğun ilişkisi olan başka iki halk olmadı	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
526	Kurgusal bir şey ama Müsteşar'a göre çok önemli değinmeler var kitapta	O O O O O O O O O O O
527	Kurguya göre 2015 yılında Köln'de en iyi lise , bir Türk lisesi olacak	O O O O I-LOC O O O O O O O O
528	Öğrencilerin çoğunluğu ise Alman	O O O O
529	Türkiye nasıl görülüyor	I-LOC O O
530	Türkiye'nin önünde zor konuların olduğunu belirten Alman Müsteşar , Avrupa konusunun bunlardan birisi olduğu'nu söylüyor	I-LOC O O O O O O O O I-LOC O O O O O
531	"Nedeni ise ona göre şöyle : "" Türkiye AB kurallarına göre yaşayabilir mi ."	O O O O O O O I-LOC I-ORG O O O O O
532	Türkiye'nin ekonomisi , idari yapısı , adalet sistemi AB'nin beklentilerine karşılık verebilir mi .	I-LOC O O O O O O O I-ORG O O O O O
533	AB , üye ülkeler için hukuk devleti tanımlamasını getiriyor .	I-ORG O O O O O O O O O
534	Üyeler ortak hukuka ve yasalara uymak zorunda .	O O O O O O O O
535	Bu sistemin işlemesi için kamu idaresinin çok yetkin olması ve sosyal güvenlik sisteminin de finanse edilmesi gerekiyor .	O O O O O O O O O O O O O O O O O O
536	""""	O
537	Alman Müsteşar Türkiye'nin AB üyeliğini savunduklarını söylüyor	O O I-LOC I-ORG O O O
538	"Ancak ,' ama "" sı var : "" Biz Almanlar , Türkiye'nin AB içinde kurallara göre bulunması için , iyiniyetimizi dile getiriyoruz ."	O O O O O O O O O O O I-LOC I-ORG O O O O O O O O O O
539	Bizim çıkarımız bu yönde .	O O O O O
540	Aslında birlikte güzel bir yolu tanımladık .	O O O O O O O
541	AB'ye üye olmak ne demektir .	I-ORG O O O O O
542	Türk kamuoyu bunun bilincinde mi .	O O O O O O
543	Önce açık ve samimi bir tartışma olmalı .	O O O O O O O O
544	Diğer aday ülkelerde bu tartışma yapıldı .	O O O O O O O
545	AB'de devletler bazı egemenliklerinden feragat ediyor .	I-ORG O O O O O O
546	Bazı yetkiler Brüksel'e devrediliyor .	O O O O O
547	Biz de devrediyoruz .	O O O O
548	AB Komisyonu etraflı bir belge hazırladı .	I-ORG O O O O O O
549	Her ilişki alanı ele alındı .	O O O O O O
550	Türk hükümeti bunu anlayışla karşıladı .	O O O O O O
551	Aynı doğrultuda bazı önerilerde bulundu .	O O O O O O
552	Türkiye'nin ev ödevleri gündemde .	I-LOC O O O O
553	Hükümetinizin programında önemli noktalar var .	O O O O O O
554	Lafların değil eylemin zamanı .	O O O O O
555	AB'nin 70 bin sayfalık yasal hükümleri var .	I-ORG O O O O O O O
556	Aday ülke bu yükümlülükleri yerine getirebilir mi .	O O O O O O O O
557	Buna bakılıyor .	O O O
558	""""	O
559	Din farklılığı sorun değil	O O O O
560	Ona göre , Türkiye'yle birlikte olmayı başaramayan AB , diğer müslüman ülkelerle bunu hiç başaramaz	O O O I-LOC O O O I-ORG O O O O O O O
561	Türkiye'nin müslüman olması ilişkilerde bir engel teşkil ediyor mu	I-LOC O O O O O O O O
562	"Müsteşar'dan ,' İlişkilerde dini konuları göz önüne almak çok saçma olur "" yanıtı geliyor"	O O O O O O O O O O O O O O
563	AB , Türkiye'yi dışlıyor mu	I-ORG O I-LOC O O
564	Bundan daha fazla ne söyleyebilir .	O O O O O O
565	""" diye soruyor ve büyükelçi Volkan Vural'ın bir sözüne atıfta bulunarak , Türklerin "" bir temel yanlış anlaması'na dikkat çekiyor : "" Volkan Vural şöyle dedi :' Lüksemburg'ta AB , Türk vagonunu Avrupa trenine bağlamayı unuttu ."	O O O O O I-PER I-PER O O O O O O O O O O O O O O O I-PER I-PER O O O I-LOC I-ORG O O O I-LOC O O O O
566	Halbuki lokomotif Ankara'da , Lüksemburg'ta değil .	O O I-LOC O I-LOC O O
567	AB içinde herkes eşit performans göstermeli .	I-ORG O O O O O O
568	""" ."	O O
569	"von Ploetz bu arada , Gümrük Birliği'ne girme kararımızı övgüyle karşılıyor : "" 1995 yılında Türkiye GB yörüngesine girdi ."	I-PER I-PER O O O I-ORG I-ORG O O O O O O O O I-LOC I-ORG O O O
570	Önemli bir adımdı .	O O O O
571	GB kararını alan hükümetin cesaretine hayran oldum .	I-ORG O O O O O O O
572	Uygulama başladığında dezevantajlar fazlaydı .	O O O O O
573	Uzun vadede avantajlar ortaya çıktı .	O O O O O O
574	Ev ödevi vermek bize düşmez .	O O O O O O
575	AB'ye üye olmak istiyorum diyen Türkiye'nin kendisi , bağımsız olarak bu kararı verdi .	I-ORG O O O O I-LOC O O O O O O O O
576	Bunun gereklerini yerine getirmeli .	O O O O O
577	""""	O
578	Sorunlarının çok daha fazla olduğu 1950'lerde Türkiye NATO'ya alındı	O O O O O O I-LOC I-ORG O
579	NATO örneği , bazı kıstasları yerine getiremeyen Türkiye'nin , bugün AB'ye alınması için bir emsal teşkil edemez mi	I-ORG O O O O O O I-LOC O O I-ORG O O O O O O O
580	""" NATO , küçük bir alanda çalıştı ."	O I-ORG O O O O O O
581	AB , ise bütün alanları kapsıyor .	I-ORG O O O O O O
582	Kararlar yurttaşları doğrudan ilgilendiriyor .	O O O O O
583	NATO'da herkes egemendi .	I-ORG O O O
584	Kararlar görüş birliği içinde alınıyordu .	O O O O O O
585	"AB'de ise devletler egemenliklerinin bir kısmını Brüksel'e bırakıyor "" değerlendirmesini yapan Müsteşar'dan , NATO örneğinin emsal olamayacağı yanıtını alıyoruz"	I-ORG O O O O O I-LOC O O O O O O I-ORG O O O O O
586	Alman yayılmacılığı	O O
587	Almanya , AB içinde başı çekmek istemiyor mu	I-LOC O I-ORG O O O O O
588	Doğu'ya doğru yayılma politikası izlemiyor mu	O O O O O O
589	Bu politikada Türkiye'ye yer olmadığı tezini nasıl karşılıyor	O O I-LOC O O O O O
590	Müsteşar , Brzezinsky'nin değerlendirmelerini eleştirerek şöyle diyor :	O O I-PER O O O O O
591	""" Birçok Amerikalı gibi Brzezinsky de Avrupa'da neyin değiştiğinin farkında değil ."	O O O O I-PER O I-LOC O O O O O
592	1944 yılının politikacıları gibiler .	O O O O O
593	Güç üzerine politika yapma düşüncesi bu .	O O O O O O O
594	Klasik Avrupa için doğru olabilir bu güç politikası .	O I-LOC O O O O O O O
595	AB ile bu düşünce kayboldu .	I-ORG O O O O O
596	Biz hegemonya istemiyoruz .	O O O O
597	Hukukun gücünü , adaletin gücünü istiyoruz .	O O O O O O O
598	Bir Amerikalıya ,' Tarihte Almanya'ya karşı ittifaklar oldu , şimdi ise ortak yasalarımız var' dedim .	O O O O I-LOC O O O O O O O O O O O
599	Amerikalı bana ,' O zaman artık siz en büyük değilsiniz' dedi .	O O O O O O O O O O O O
600	Ben de ,' Tabii ki' dedim .	O O O O O O O
601	Güven ve barış ortamında yaşıyoruz ve bu , en büyük ve güçlü olmaktan daha önemli' yanıtını verdim .	O O O O O O O O O O O O O O O O O O
602	""""	O
603	Brzezinsksy AB'nin adımlarını anlamıyor .	I-PER I-ORG O O O
604	Süper güç anlayışını savunuyor .	O O O O O
605	Bizi anlaması zor .	O O O O
606	Ölümünden önce Bonn'da bir yemekte ,' İnsan hakları orada felaket , Siz Çin'e niye gittiniz ,' diye soruldu .	O O I-LOC O O O O O O O O O I-LOC O O O O O O
607	diye yanıt verdi .	O O O O
608	""""	O
609	Kürt sorunu	O O
610	Sıra sorunlarımızın Almanya'yı nasıl etkilediğine geliyor	O O O O O O
611	Türkiye'de taşan dalgalar Almanya'ya vuruyor	I-LOC O O O O
612	"Kürt sorunu da "" Almanya'ya vuran dalgalar'dan : "" Alman vatandaşı olan Kürtler , milletvekiline gidip ,' benim sorunumu var , bunu savun' diyorlar ."	O O O O I-LOC O O O O O O O O O O O O O O O O O O O O
613	Böylece bu sorun , neredeyse bizim de bir iç sorunumuz haline gelmeye başladı .	O O O O O O O O O O O O O O
614	Sorunlara polis , asker çözüm getiremez .	O O O O O O O
615	Çünkü sorunların kendisi askeri denetim altında değil .	O O O O O O O O
616	Siyasi çözüm şart .	O O O O
617	Bizim devlet yapımız federal .	O O O O O
618	Bu kavram kullanılınca Türkiye'de hemen yanlış bir şekilde toprak bütünlüğünün bozulması akla geliyor .	O O O I-LOC O O O O O O O O O O
619	Sözkonusu olan toprak bütünlüğü değil .	O O O O O O
620	""""	O
621	""" Kürt sorununda federal bir çözüm mü öneriyorsunuz "" sorumuza ise şöyle yanıt alıyoruz : "" Hayır ."	O O O O O O O O O O O O O O O O O O
622	Bu sorular Türkiye'de cevaplandırılmalı .	O O I-LOC O O
623	Ben tavsiyede bulunamam .	O O O O
624	Bu sorunun yanıtı bizim yetki alanımıza dahil değil .	O O O O O O O O O
625	Ancak benzer sorunlar için benzer kıyaslamalar yapılabilir .	O O O O O O O O
626	Örneğin ingiltere .	O I-LOC O
627	İngiltere çok merkezi bir sisteme sahipti , şimdi ilginç gelişmeler oluyor .	I-LOC O O O O O O O O O O O
628	""""	O
629	Korkunç kaza Kayseri - Malatya karayolunun 23. kilometresinde meydana geldi	O O I-LOC O I-LOC O O O O O
630	Hurdaya dönen otobüs içinde sıkışan yolcuları kurtarmak için sağlık ekipleri , emniyet ve itfaiye alarma geçti	O O O O O O O O O O O O O O O O
631	İş makinaları yardımıyla otobüsten çıkarılan 66 yaralı tedavi altına alındı	O O O O O O O O O O
632	Feci kazada Hüseyin Dalkılıç ( 59 ) , Ali Karakaya , İran doğumlu Adil Gezgin ( 47 ) ile 25 yaşlarında bir kadınla bir erkek öldü	O O I-PER I-PER O O O O I-PER I-PER O I-LOC O I-PER I-PER O O O O O O O O O O O
633	"Gezgin'in sünnetsiz ve atletinde 295225848 seri numarası olması ,' terörist olabilir "" yorumuna neden olunca çevreye dağılan eşyalar didik didik arandı"	I-PER O O O O O O O O O O O O O O O O O O O O
634	Aşırı hız faciasında 5 yolcuya mezar olan araçta sıkışan yolcuları kurtarmak için vinçler kullanıldı	O O O O O O O O O O O O O O
635	Kaza yerine dağılan eşyalar toplandı	O O O O O
636	Nurdan AKINER	I-PER I-PER
637	600 kişinin davetli olduğu defileye Danimarka Kraliyet ailesinin önde gelen isimleri , üst düzey bürokratlar , işadamları ve Danimarka basını katılacak	O O O O O I-LOC O O O O O O O O O O O O I-LOC O O
638	Türkiye'deki çalışmalarını eski mankenlerden Cavidan Kutlu aracılığıyla yürüten Kerim Fizzi'nin kendi vatanı olan İran'da da bir modaevi bulunuyor	I-LOC O O O I-PER I-PER O O I-PER I-PER O O O I-LOC O O O O
639	Fakat modaevi uygulanan yasaktan dolayı 15 yıldır kapalı tutuluyor	O O O O O O O O O
640	Birsen ALTUNTAŞ	I-PER I-PER
641	"AŞIRI heyecanı nedeniyle hiç bir televizyon programına katılmayan Türkan Şoray , bu kuralını bozarak "" Şans Kapıyı Çalınca "" adlı yarışma programına konuk oldu"	O O O O O O O O I-PER I-PER O O O O O O O O O O O O O O
642	Yarışma öncesi bilgi alan ünlü yıldıza programın yönetmeni Fatih Aksoy ailenin kazanması halinde 5 milyar değerinde ödüller alacağını söyledi	O O O O O O O O I-PER I-PER O O O O O O O O O
643	Yarışmanın sonuna kadar aileye görünmeyeceğini ancak kazandıkları takdirde ödüllerini vermek için yarışmaya katılabileceğini söyledi	O O O O O O O O O O O O O O
644	"Sultan'ın şartlarını kabul etmek zorunda kalan yönetmen , Şoray'ın Kadir İnanır ile birlikte oynadığı "" Selvi Boylum , Al Yazmalım "" filminin repliklerini en iyi ezberleyen ailenin kazanacağı yarışmayı başlattı"	O O O O O O O O I-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O
645	Yarışmayı , seyircilere görünmeden set kenarından izleyen sanatçı , Akyüz ailesinin kazandığını görünce mutluluktan havalara uçtu	O O O O O O O O O I-PER O O O O O O
646	Şoray , aileye kazandıkları Twingo marka arabanın anahtarını ve hediyelerini teslim etti	I-PER O O O O O O O O O O O
647	Önay YILMAZ	I-PER I-PER
